region,district,sr_no,taluka,avg_rain_1995_2024,rain_till_yesterday,rain_last_24hrs,total_rainfall,percent_against_avg
East Central Gujarat,East Central Gujarat Region,,East Central Gujarat Region Avg,805.0,79.0,23.0,101.0,12.6
East-CENTRAL GUJARAT,Ahmedabad,1.0,Ahmedabad City,806.0,62.0,64.0,126.0,15.6
East-CENTRAL GUJARAT,Ahmedabad,1.0,Galteshwar,753.0,37.0,5.0,42.0,5.5
East-CENTRAL GUJARAT,Ahmedabad,2.0,Bavla,658.0,63.0,37.0,100.0,15.2
East-CENTRAL GUJARAT,Ahmedabad,3.0,Daskroi,617.0,90.0,33.0,123.0,19.9
East-CENTRAL GUJARAT,Ahmedabad,4.0,Detroj-rampura,568.0,40.0,32.0,72.0,12.6
East-CENTRAL GUJARAT,Ahmedabad,5.0,Dhandhuka,739.0,184.0,0.0,184.0,24.9
East-CENTRAL GUJARAT,Ahmedabad,6.0,Dholera,694.0,114.0,0.0,114.0,16.4
East-CENTRAL GUJARAT,Ahmedabad,7.0,Dholka,730.0,121.0,50.0,171.0,23.4
East-CENTRAL GUJARAT,Ahmedabad,8.0,Mandal,498.0,128.0,0.0,128.0,25.7
East-CENTRAL GUJARAT,Ahmedabad,9.0,Sanand,772.0,47.0,25.0,72.0,9.3
East-CENTRAL GUJARAT,Ahmedabad,10.0,Viramgam,599.0,77.0,2.0,79.0,13.1
East-CENTRAL GUJARAT,Ahmedabad,,Ahmedabad District Avg,668.0,92.6,24.3,116.9,17.5
East-CENTRAL GUJARAT,Anand,1.0,Anand,889.0,207.0,13.0,220.0,24.7
East-CENTRAL GUJARAT,Anand,2.0,Anklav,833.0,65.0,24.0,89.0,10.6
East-CENTRAL GUJARAT,Anand,3.0,Borsad,855.0,127.0,35.0,162.0,18.9
East-CENTRAL GUJARAT,Anand,4.0,Khambhat,801.0,264.0,52.0,316.0,39.4
East-CENTRAL GUJARAT,Anand,5.0,Petlad,818.0,226.0,31.0,257.0,31.4
East-CENTRAL GUJARAT,Anand,6.0,Sojitra,735.0,162.0,8.0,170.0,23.1
East-CENTRAL GUJARAT,Anand,7.0,Tarapur,697.0,216.0,64.0,280.0,40.1
East-CENTRAL GUJARAT,Anand,8.0,Umreth,644.0,40.0,5.0,45.0,6.9
East-CENTRAL GUJARAT,Anand,,Anand District Avg,784.0,163.38,29.0,192.38,24.5
East-CENTRAL GUJARAT,Chhota Udepur,1.0,Bodeli,1201.0,109.0,0.0,109.0,9.08
East-CENTRAL GUJARAT,Chhota Udepur,2.0,Chhota Udepur,1001.0,31.0,37.0,68.0,6.79
East-CENTRAL GUJARAT,Chhota Udepur,3.0,Jetpur Pavi,1048.0,58.0,29.0,87.0,8.3
East-CENTRAL GUJARAT,Chhota Udepur,4.0,Nasvadi,917.0,42.0,47.0,89.0,9.71
East-CENTRAL GUJARAT,Chhota Udepur,5.0,Kavant,1006.0,40.0,17.0,57.0,5.67
East-CENTRAL GUJARAT,Dahod,1.0,Dahod,765.0,38.0,2.0,40.0,5.23
East-CENTRAL GUJARAT,Dahod,2.0,Devgadbaria,710.0,6.0,14.0,20.0,2.82
East-CENTRAL GUJARAT,Dahod,3.0,Dhanpur,670.0,20.0,7.0,27.0,4.03
East-CENTRAL GUJARAT,Dahod,4.0,Fatepura,725.0,51.0,4.0,55.0,7.59
East-CENTRAL GUJARAT,Dahod,5.0,Garbada,631.0,43.0,8.0,51.0,8.08
East-CENTRAL GUJARAT,Dahod,6.0,Jhalod,672.0,14.0,5.0,19.0,2.83
East-CENTRAL GUJARAT,Dahod,7.0,Limkheda,734.0,18.0,8.0,26.0,3.54
East-CENTRAL GUJARAT,Dahod,9.0,Sanjeli,702.0,7.0,7.0,14.0,1.99
East-CENTRAL GUJARAT,Dahod,,Dahod District Avg,701.0,22.6,7.2,29.8,4.25
East-CENTRAL GUJARAT,Dahod,,Singvad,702.0,6.0,10.0,16.0,2.28
East-CENTRAL GUJARAT,Kheda,2.0,Kapadvanj,932.0,77.0,72.0,149.0,15.9
East-CENTRAL GUJARAT,Kheda,3.0,Kathlal,866.0,42.0,59.0,101.0,11.6
East-CENTRAL GUJARAT,Kheda,4.0,Kheda,780.0,62.0,24.0,86.0,11.0
East-CENTRAL GUJARAT,Kheda,5.0,Mehmedabad,762.0,112.0,35.0,147.0,19.2
East-CENTRAL GUJARAT,Kheda,6.0,Mahudha,896.0,70.0,24.0,94.0,10.4
East-CENTRAL GUJARAT,Kheda,7.0,Matar,797.0,128.0,36.0,164.0,20.5
East-CENTRAL GUJARAT,Kheda,8.0,Nadiad,936.0,154.0,58.0,212.0,22.6
East-CENTRAL GUJARAT,Kheda,9.0,Thasra,721.0,48.0,9.0,57.0,7.9
East-CENTRAL GUJARAT,Kheda,10.0,Vaso,820.0,157.0,43.0,200.0,24.3
East-CENTRAL GUJARAT,Kheda,,Kheda District Avg,826.0,88.7,36.5,125.2,15.1
East-CENTRAL GUJARAT,Mahisagar,1.0,Balasinor,865.0,91.0,25.0,116.0,13.41
East-CENTRAL GUJARAT,Mahisagar,2.0,Kadana,845.0,48.0,7.0,55.0,6.51
East-CENTRAL GUJARAT,Mahisagar,3.0,Khanpur,582.0,32.0,3.0,35.0,6.01
East-CENTRAL GUJARAT,Mahisagar,6.0,Virpur,672.0,80.0,10.0,90.0,13.39
East-CENTRAL GUJARAT,Mahisagar,,Mahisagar District Avg,747.0,63.7,10.5,74.2,9.93
East-CENTRAL GUJARAT,Panchmahal,1.0,Ghoghamba,813.0,19.0,6.0,25.0,3.08
East-CENTRAL GUJARAT,Panchmahal,2.0,Godhra,876.0,4.0,87.0,91.0,10.39
East-CENTRAL GUJARAT,Panchmahal,3.0,Halol,1056.0,40.0,21.0,61.0,5.78
East-CENTRAL GUJARAT,Panchmahal,4.0,Jambughoda,1131.0,99.0,24.0,123.0,10.88
East-CENTRAL GUJARAT,Panchmahal,4.0,Lunawada,740.0,96.0,3.0,99.0,13.38
East-CENTRAL GUJARAT,Panchmahal,5.0,Kalol,679.0,41.0,4.0,45.0,6.63
East-CENTRAL GUJARAT,Panchmahal,5.0,Santrampur,779.0,35.0,15.0,50.0,6.42
East-CENTRAL GUJARAT,Panchmahal,6.0,Morwa (Hadaf),933.0,16.0,51.0,67.0,7.18
East-CENTRAL GUJARAT,Panchmahal,7.0,Shehera,756.0,35.0,23.0,58.0,7.67
East-CENTRAL GUJARAT,Panchmahal,,Panchmahal District Avg,892.0,36.29,30.9,67.14,7.53
East-CENTRAL GUJARAT,Vadodara,1.0,Dabhoi,1002.0,200.0,27.0,227.0,22.6
East-CENTRAL GUJARAT,Vadodara,2.0,Desar,792.0,31.0,0.0,31.0,3.9
East-CENTRAL GUJARAT,Vadodara,3.0,Karjan,1027.0,85.0,11.0,96.0,9.3
East-CENTRAL GUJARAT,Vadodara,4.0,Padra,731.0,70.0,36.0,106.0,14.5
East-CENTRAL GUJARAT,Vadodara,5.0,Savli,801.0,58.0,1.0,59.0,7.3
East-CENTRAL GUJARAT,Vadodara,6.0,Sankheda,1175.0,205.0,39.0,244.0,20.77
East-CENTRAL GUJARAT,Vadodara,6.0,Sinor,749.0,37.0,7.0,44.0,5.8
East-CENTRAL GUJARAT,Vadodara,7.0,Vadodara,1088.0,49.0,19.0,68.0,6.2
East-CENTRAL GUJARAT,Vadodara,8.0,Vaghodia,718.0,56.0,4.0,60.0,8.3
East-CENTRAL GUJARAT,Vadodara,,Vadodara District Avg,864.0,73.3,13.1,86.4,10.0
Kachchh,Kachchh,1.0,Abdasa,454.0,55.0,0.0,55.0,12.11
Kachchh,Kachchh,2.0,Anjar,542.0,85.0,0.0,85.0,15.68
Kachchh,Kachchh,3.0,Bhachau,476.0,77.0,0.0,77.0,16.18
Kachchh,Kachchh,4.0,Bhuj,459.0,75.0,0.0,75.0,16.34
Kachchh,Kachchh,5.0,Gandhidham,451.0,117.0,0.0,117.0,25.94
Kachchh,Kachchh,6.0,Lakhpat,365.0,28.0,0.0,28.0,7.67
Kachchh,Kachchh,7.0,Mandvi(Kachchh),538.0,111.0,0.0,111.0,20.63
Kachchh,Kachchh,8.0,Mundra,561.0,67.0,0.0,67.0,11.94
Kachchh,Kachchh,9.0,Nakhatrana,469.0,91.0,0.0,91.0,19.4
Kachchh,Kachchh,10.0,Rapar,517.0,142.0,0.0,142.0,27.47
Kachchh,Kachchh,,Kachchh District Avg,483.0,84.8,0.0,84.8,17.5
Kachchh,Kachchh Region,,Kachchh Region Avg,483.0,84.8,0.0,84.8,17.5
North Gujarat,Aravalli,,Aravalli District Avg,873.0,52.2,14.2,66.3,7.6
North Gujarat,Aravalli,,Bayad,873.0,44.0,18.0,62.0,7.1
North Gujarat,Aravalli,,Bhiloda,897.0,39.0,0.0,39.0,4.35
North Gujarat,Aravalli,,Dhansura,918.0,51.0,22.0,73.0,7.95
North Gujarat,Aravalli,,Malpur,777.0,39.0,5.0,44.0,5.66
North Gujarat,Aravalli,,Meghraj,882.0,47.0,14.0,61.0,6.92
North Gujarat,Aravalli,,Modasa,893.0,93.0,26.0,119.0,13.33
North Gujarat,Banaskantha,1.0,Amirgadh,801.0,51.0,0.0,51.0,6.37
North Gujarat,Banaskantha,2.0,Bhabhar,531.0,22.0,0.0,22.0,4.14
North Gujarat,Banaskantha,3.0,Danta,891.0,13.0,29.0,42.0,4.71
North Gujarat,Banaskantha,4.0,Dantiwada,652.0,19.0,0.0,19.0,2.91
North Gujarat,Banaskantha,5.0,Deesa,679.0,20.0,0.0,20.0,2.95
North Gujarat,Banaskantha,6.0,Deodar,563.0,104.0,0.0,104.0,18.47
North Gujarat,Banaskantha,7.0,Dhanera,597.0,36.0,0.0,36.0,6.03
North Gujarat,Banaskantha,8.0,Kankrej,492.0,51.0,0.0,51.0,10.37
North Gujarat,Banaskantha,9.0,Lakhani,586.0,26.0,0.0,26.0,4.44
North Gujarat,Banaskantha,10.0,Palanpur,770.0,82.0,4.0,86.0,11.17
North Gujarat,Banaskantha,11.0,Suigam,556.0,31.0,0.0,31.0,5.58
North Gujarat,Banaskantha,12.0,Tharad,442.0,28.0,0.0,28.0,6.33
North Gujarat,Banaskantha,13.0,Vadgam,772.0,35.0,4.0,39.0,5.05
North Gujarat,Banaskantha,14.0,Vav,499.0,30.0,0.0,30.0,6.01
North Gujarat,Banaskantha,,Banaskantha District Avg,631.0,39.14,2.64,41.79,6.62
North Gujarat,Gandhinagar,,Dehgam,810.0,66.0,91.0,157.0,19.38
North Gujarat,Gandhinagar,,Gandhinagar,695.0,21.0,83.0,104.0,14.96
North Gujarat,Gandhinagar,,Gandhinagar District Avg,768.0,39.8,76.5,116.3,15.14
North Gujarat,Gandhinagar,,Kalol(Gandhinagar),774.0,12.0,34.0,46.0,5.94
North Gujarat,Gandhinagar,,Mansa,792.0,60.0,98.0,158.0,19.95
North Gujarat,Mahesana,,Becharaji,701.0,22.0,0.0,22.0,3.14
North Gujarat,Mahesana,,Jotana,767.0,28.0,16.0,44.0,5.74
North Gujarat,Mahesana,,Kadi,834.0,53.0,5.0,58.0,6.95
North Gujarat,Mahesana,,Kheralu,639.0,34.0,40.0,74.0,11.58
North Gujarat,Mahesana,,Mahesana,806.0,23.0,1.0,24.0,2.98
North Gujarat,Mahesana,,Mahesana District Avg,727.0,28.6,21.4,50.0,6.88
North Gujarat,Mahesana,,Satlasana,728.0,33.0,29.0,62.0,8.52
North Gujarat,Mahesana,,Unjha,718.0,14.0,10.0,24.0,3.34
North Gujarat,Mahesana,,Vadnagar,599.0,19.0,27.0,46.0,7.68
North Gujarat,Mahesana,,Vijapur,817.0,30.0,52.0,82.0,10.04
North Gujarat,Mahesana,,Visnagar,656.0,30.0,34.0,64.0,9.76
North Gujarat,North Gujarat Region,,North Gujarat Region Avg,719.0,41.0,17.0,59.0,8.15
North Gujarat,Patan,1.0,Chanasma,502.0,21.0,5.0,26.0,5.18
North Gujarat,Patan,2.0,Harij,587.0,31.0,3.0,34.0,5.79
North Gujarat,Patan,3.0,Patan,706.0,64.0,0.0,64.0,9.07
North Gujarat,Patan,4.0,Radhanpur,671.0,18.0,0.0,18.0,2.68
North Gujarat,Patan,5.0,Sami,520.0,46.0,0.0,46.0,8.85
North Gujarat,Patan,6.0,Santalpur,454.0,43.0,0.0,43.0,9.47
North Gujarat,Patan,7.0,Sarswati,699.0,37.0,0.0,37.0,5.29
North Gujarat,Patan,8.0,Shankheshvar,513.0,33.0,0.0,33.0,6.43
North Gujarat,Patan,9.0,Sidhpur,766.0,29.0,14.0,43.0,5.61
North Gujarat,Patan,,Patan District Avg,602.0,35.8,2.4,38.2,6.3
North Gujarat,Sabarkantha,,Himatnagar,854.0,52.0,46.0,98.0,11.48
North Gujarat,Sabarkantha,,Idar,967.0,136.0,40.0,176.0,18.2
North Gujarat,Sabarkantha,,Khedbrahma,821.0,16.0,13.0,29.0,3.53
North Gujarat,Sabarkantha,,Poshina,830.0,12.0,5.0,17.0,2.05
North Gujarat,Sabarkantha,,Prantij,855.0,46.0,54.0,100.0,11.7
North Gujarat,Sabarkantha,,Sabarkantha District Avg,854.0,59.9,27.1,87.0,10.18
North Gujarat,Sabarkantha,,Talod,825.0,80.0,35.0,115.0,13.94
North Gujarat,Sabarkantha,,Vadali,850.0,71.0,22.0,93.0,10.94
North Gujarat,Sabarkantha,,Vijaynagar,832.0,66.0,2.0,68.0,8.17
Saurashtra,Amreli,1.0,Amreli,704.0,195.0,0.0,195.0,27.7
Saurashtra,Amreli,2.0,Babra,688.0,195.0,1.0,196.0,28.49
Saurashtra,Amreli,3.0,Bagasara,724.0,76.0,2.0,78.0,10.77
Saurashtra,Amreli,4.0,Dhari,629.0,50.0,0.0,50.0,7.95
Saurashtra,Amreli,5.0,Jafrabad,681.0,47.0,7.0,54.0,7.93
Saurashtra,Amreli,7.0,Lathi,646.0,115.0,0.0,115.0,17.8
Saurashtra,Amreli,8.0,Lilia,657.0,198.0,6.0,204.0,31.05
Saurashtra,Amreli,9.0,Rajula,719.0,206.0,0.0,206.0,28.65
Saurashtra,Amreli,10.0,Savar kundla,694.0,271.0,4.0,275.0,39.63
Saurashtra,Amreli,11.0,Kunkavav Vadia,707.0,117.0,0.0,117.0,16.55
Saurashtra,Amreli,,Amreli District Avg,685.0,148.91,2.09,151.0,22.05
Saurashtra,Bhavnagar,1.0,Bhavnagar,762.0,145.0,0.0,145.0,19.0
Saurashtra,Bhavnagar,2.0,Gariadhar,458.0,171.0,8.0,179.0,39.08
Saurashtra,Bhavnagar,3.0,Ghogha,630.0,101.0,0.0,101.0,16.03
Saurashtra,Bhavnagar,4.0,Jesar,649.0,275.0,7.0,282.0,43.45
Saurashtra,Bhavnagar,5.0,Mahuva (Bhavnagar),688.0,247.0,3.0,250.0,36.34
Saurashtra,Bhavnagar,6.0,Palitana,608.0,328.0,0.0,328.0,53.95
Saurashtra,Bhavnagar,7.0,Shihor,645.0,446.0,0.0,446.0,69.15
Saurashtra,Bhavnagar,8.0,Talaja,569.0,159.0,0.0,159.0,27.94
Saurashtra,Bhavnagar,9.0,Umrala,614.0,395.0,0.0,395.0,64.33
Saurashtra,Bhavnagar,10.0,Vallabhipur,655.0,324.0,0.0,324.0,49.47
Saurashtra,Bhavnagar,,Bhavnagar District Avg,628.0,259.1,1.8,260.9,41.56
Saurashtra,Botad,1.0,Botad,625.0,480.0,0.0,480.0,76.8
Saurashtra,Botad,2.0,Barwala,682.0,296.0,0.0,296.0,43.4
Saurashtra,Botad,3.0,Gadhada,616.0,389.0,0.0,389.0,63.15
Saurashtra,Botad,4.0,Ranpur,637.0,151.0,0.0,151.0,23.7
Saurashtra,Botad,,Botad District Avg,640.0,329.0,0.0,329.0,51.41
Saurashtra,Devbhumi Dwarka,1.0,Bhanvad,777.0,55.0,0.0,55.0,7.08
Saurashtra,Devbhumi Dwarka,2.0,Dwarka,627.0,94.0,0.0,94.0,14.99
Saurashtra,Devbhumi Dwarka,3.0,Kalyanpur,939.0,119.0,0.0,119.0,12.67
Saurashtra,Devbhumi Dwarka,6.0,Khambha,684.0,168.0,3.0,171.0,25.0
Saurashtra,Gir Somnath,1.0,Gir Gadhada,924.0,27.0,59.0,86.0,9.31
Saurashtra,Gir Somnath,2.0,Kodinar,1065.0,57.0,69.0,126.0,11.83
Saurashtra,Gir Somnath,3.0,Sutrapada,991.0,59.0,97.0,156.0,15.74
Saurashtra,Gir Somnath,5.0,Una,929.0,61.0,47.0,108.0,11.63
Saurashtra,Gir Somnath,6.0,Patan-Veraval,994.0,39.0,93.0,132.0,13.28
Saurashtra,Gir Somnath,,Gir Somnath District Avg,1011.0,50.33,67.83,118.17,11.69
Saurashtra,Jamnagar,1.0,Dhrol,633.0,69.0,0.0,69.0,10.9
Saurashtra,Jamnagar,2.0,JamJodhpur,788.0,57.0,0.0,57.0,7.23
Saurashtra,Jamnagar,3.0,Jamnagar,824.0,65.0,0.0,65.0,7.89
Saurashtra,Jamnagar,4.0,Jodiya,683.0,182.0,0.0,182.0,26.65
Saurashtra,Jamnagar,4.0,Khambhalia,938.0,69.0,0.0,69.0,7.36
Saurashtra,Jamnagar,5.0,Kalavad,714.0,65.0,0.0,65.0,9.1
Saurashtra,Jamnagar,6.0,Lalpur,776.0,42.0,0.0,42.0,5.41
Saurashtra,Jamnagar,,Jamnagar District Avg,736.0,80.0,0.0,80.0,10.86
Saurashtra,Junagadh,1.0,Bhesan,783.0,96.0,0.0,96.0,12.26
Saurashtra,Junagadh,2.0,Junagadh,1070.0,119.0,0.0,119.0,11.12
Saurashtra,Junagadh,3.0,Junagadh City,1070.0,119.0,0.0,119.0,11.12
Saurashtra,Junagadh,4.0,Keshod,981.0,74.0,38.0,112.0,11.42
Saurashtra,Junagadh,4.0,Talala,1161.0,59.0,42.0,101.0,8.7
Saurashtra,Junagadh,5.0,Maliya Hatina,1118.0,55.0,22.0,77.0,6.89
Saurashtra,Junagadh,6.0,Manavadar,949.0,46.0,2.0,48.0,5.06
Saurashtra,Junagadh,7.0,Mangrol(Junagadh),955.0,55.0,26.0,81.0,8.48
Saurashtra,Junagadh,8.0,Mendarda,1051.0,104.0,10.0,114.0,10.85
Saurashtra,Junagadh,9.0,Vanthali,1067.0,90.0,2.0,92.0,8.62
Saurashtra,Junagadh,10.0,Visavadar,1266.0,82.0,5.0,87.0,6.87
Saurashtra,Junagadh,,Junagadh District Avg,1031.0,84.0,10.5,94.5,9.17
Saurashtra,Morbi,1.0,Halvad,497.0,165.0,0.0,165.0,33.2
Saurashtra,Morbi,2.0,Maliya,498.0,119.0,0.0,119.0,23.9
Saurashtra,Morbi,9.0,Thangadh,630.0,270.0,0.0,270.0,42.86
Saurashtra,Porbandar,1.0,Kutiyana,850.0,20.0,2.0,22.0,2.59
Saurashtra,Porbandar,2.0,Porbandar,786.0,87.0,0.0,87.0,11.07
Saurashtra,Porbandar,3.0,Ranavav,864.0,39.0,1.0,40.0,4.63
Saurashtra,Porbandar,,Porbandar District Avg,833.0,48.7,1.0,49.7,5.96
Saurashtra,Rajkot,1.0,Dhoraji,812.0,54.0,2.0,56.0,6.9
Saurashtra,Rajkot,2.0,Gondal,785.0,176.0,0.0,176.0,22.42
Saurashtra,Rajkot,3.0,Jamkandorna,743.0,58.0,0.0,58.0,7.81
Saurashtra,Rajkot,3.0,Morbi,666.0,186.0,0.0,186.0,27.93
Saurashtra,Rajkot,4.0,Jasdan,579.0,120.0,4.0,124.0,21.42
Saurashtra,Rajkot,4.0,Tankara,664.0,154.0,0.0,154.0,23.19
Saurashtra,Rajkot,5.0,Jetpur,763.0,137.0,2.0,139.0,18.22
Saurashtra,Rajkot,5.0,Wankaner,545.0,169.0,0.0,169.0,31.01
Saurashtra,Rajkot,6.0,Kotda Sangani,785.0,90.0,0.0,90.0,11.46
Saurashtra,Rajkot,7.0,Lodhika,781.0,137.0,0.0,137.0,17.54
Saurashtra,Rajkot,8.0,Paddhari,552.0,47.0,0.0,47.0,8.51
