SchemeId,District,Taluka,Name of Schemes,Region,Type (Gated/Ungated/FuseGate),Overflow Spillway Level (m),Full Reservoi Level (m),Gross Storage (MCM),Live Storage (MCM),Dead Storage (MCM)
66,Amreli,Amreli,Thebi,Sau,G,120.6,126,10.65,9.98,0.67
70,Amreli,Amreli,Vadi,Sau,G,128.05,134,10.62,10.2,0.42
93,Amreli,Babra,Ghelo-I,Sau,UG,159.1,166.72,10.09,9.86,0.23
72,Amreli,Bagasara,Munjiasar,Sau,UG,55.47,62.94,13.64,13.63,0.01
65,Amreli,Dhari,Khodiyar,Sau,G,179.82,202.68,29.94,29.94,0
68,Amreli,Khambha,Raidy,Sau,G,42.25,50.85,6.93,6.38,0.55
73,Amreli,Kunkavav vadia,Sankroli,Sau,UG,36.58,44.2,7.87,7.87,0
69,Amreli,Kunkavav vadia,Vadiya,Sau,G,125.2,130.25,5.36,5.09,0.27
67,Amreli,Rajula,Dhatarvadi,Sau,UG,70.83,81.23,26.92,24.63,2.29
75,Amreli,Rajula,Dhatarwadi-II,Sau,G,31.85,34.41,10.19,7.44,2.75
71,Amreli,Savarkundla,Shell-Dedumal,Sau,G,171,179.5,7.81,7.34,0.47
74,Amreli,Savarkundla,Surajwadi,Sau,UG,39.62,50.29,6.37,6.37,0
31,Arvalli,Bayad,Lank,NG,G,106.5,111.55,7.54,7.22,0.32
30,Arvalli,Bhiloda,Hathmati,NG,UG,170.69,180.75,152.84,149.39,3.45
34,Arvalli,Bhiloda,Meshwo,NG,UG,202.39,214.59,53.13,49.97,3.16
27,Arvalli,Malpur,Watrak,NG,G,126.03,136.25,158.2,134.79,23.41
35,Arvalli,Meghraj,Waidy,NG,UG,190.85,199.2,9.28,8.7,0.58
29,Arvalli,Modasa,Mazam,NG,G,150.77,157.1,43.86,36.58,7.28
4,Banaskantha,Dantiwada,Dantiwada,NG,G,161.85,184.1,397.12,392.01,5.1
5,Banaskantha,Dantiwada,Sipu,NG,G,176.4,186.43,161.43,145.37,16.06
3,Banaskantha,Vadgam,Mukteshwar,NG,G,193.67,201.65,31.46,26.3,5.16
7,Bharuch,Jhagadia,Dholi,SG,UG,124,136,14.17,12.56,1.61
9,Bharuch,Netrang,Baldeva,SG,UG,131.35,141.5,8.15,7.84,0.31
10,Bharuch,Netrang,Pigut,SG,UG,130.6,139.7,7.52,7.27,0.25
84,Bhavnagar,Bhavnagar,Lakhanka,Sau,G,34.98,44.22,3.68,3.68,0
90,Bhavnagar,Mahuva,Bagad,Sau,UG,55.36,60.41,11.18,9.66,1.52
81,Bhavnagar,Mahuva,Malan,Sau,G,93.9,104.25,11.44,11.44,0
91,Bhavnagar,Mahuva,Rojki,Sau,UG,89.15,99.06,9.23,9.13,0.1
86,Bhavnagar,Palitana,Hanol,Sau,G,86.35,90.1,5.6,5.43,0.17
80,Bhavnagar,Palitana,Kharo,Sau,G,47.5,54.12,12.24,11.84,0.4
77,Bhavnagar,Palitana,Rajawal,Sau,G,50,56.75,28.21,25.84,2.37
76,Bhavnagar,Palitana,Shetrunji,Sau,G,45.17,55.53,346.48,341.45,5.03
85,Bhavnagar,Talaja,Hamirpara,Sau,G,82.6,87.8,2.02,1.93,0.09
196,Bhavnagar,Talaja,Jaspara-Mandva,Sau,UG,30.2,40.25,3.72,3.18,0.54
88,Bhavnagar,Talaja,Pingli,Sau,G,45.2,51.3,2.11,1.84,0.27
