SrNo.,SchemeId,LocationId,District,Taluka,Name of Schemes,Region,Type,OSL,FRL,PWL,Design Storage in MCM,,,Present Storage in MCM,,,PercentageFilling %,RF,CRF,Type ofWarning,InflowinCusecs,OutflowRiverinCusecs,outflowCanalinCusecs
,,,,,,,,,,,Gross,Live,Dead,Gross,Live,Dead,,,,,,,
76,66,73,Amreli,Amreli,Thebi,Sau,G,120.6,126,124.2,10.65,9.98,0.67,4.94,4.27,0.67,46.38%,0,205,NIL,0,0,0
71,70,72,Amreli,Amreli,Vadi,Sau,G,128.05,134,133.5,10.62,10.20,0.42,8.86,8.44,0.42,83.43%,0,245,ALERT,0,0,0
67,93,63,Amreli,Babra,Ghelo-I,Sau,UG,159.1,166.72,165.14,10.09,9.86,0.23,5.59,5.36,0.23,55.40%,0,240,NIL,0,0,0
73,72,70,Amreli,Bagasara,Munjiasar,Sau,UG,55.47,62.94,60.866,13.64,13.63,0.01,6.22,6.21,0.01,45.60%,0,143,NIL,0,0,0
77,65,71,Amreli,Dhari,Khodiyar,Sau,G,179.82,202.68,199.06,29.94,29.94,0.00,14.47,14.47,0.00,48.33%,0,168,NIL,0,0,0
69,68,87,Amreli,Khambha,Raidy,Sau,G,42.25,50.85,47.7,6.93,6.38,0.55,2.98,2.43,0.55,43.00%,5,215,NIL,0,0,0
66,73,116,Amreli,Kunkavav vadia,Sankroli,Sau,UG,36.58,44.2,40.84,7.87,7.87,0.00,1.92,1.92,0.00,24.40%,0,89,NIL,0,0,0
70,69,115,Amreli,Kunkavav vadia,Vadiya,Sau,G,125.2,130.25,127.5,5.36,5.09,0.27,1.27,1.00,0.27,23.69%,0,222,NIL,0,0,0
68,67,85,Amreli,Rajula,Dhatarvadi,Sau,UG,70.83,81.23,81.26,26.92,24.63,2.29,26.92,24.63,2.29,100%,0,260,HIGHALERT,84,84,0
75,75,86,Amreli,Rajula,Dhatarwadi-II,Sau,G,31.85,34.41,34.1,10.19,7.44,2.75,8.95,6.20,2.75,87.83%,0,365,ALERT,392,0,0
72,71,74,Amreli,Savarkundla,Shell-Dedumal,Sau,G,171,179.5,177.45,7.81,7.34,0.47,4.07,3.60,0.47,52.11%,0,245,NIL,0,0,0
74,74,84,Amreli,Savarkundla,Surajwadi,Sau,UG,39.62,50.29,50.29,6.37,6.37,0.00,6.37,6.37,0.00,100%,0,320,HIGHALERT,0,0,0
2,31,41,Arvalli,Bayad,Lank,NG,G,106.5,111.55,104.64,7.54,7.22,0.32,0.04,0.00,0.04,0.53%,0,198,NIL,0,0,0
5,30,34,Arvalli,Bhiloda,Hathmati,NG,UG,170.69,180.75,178.22,152.84,149.39,3.45,65.73,62.28,3.45,43.01%,0,316,NIL,246,0,0
6,34,35,Arvalli,Bhiloda,Meshwo,NG,UG,202.39,214.59,211.27,53.13,49.97,3.16,33.68,30.52,3.16,63.39%,3,348,NIL,132,0,0
4,27,40,Arvalli,Malpur,Watrak,NG,G,126.03,136.25,133.17,158.20,134.79,23.41,91.01,67.60,23.41,57.53%,0,440,NIL,150,0,0
3,35,39,Arvalli,Meghraj,Waidy,NG,UG,190.85,199.2,196.91,9.28,8.70,0.58,5.52,4.94,0.58,59.48%,0,319,NIL,50,0,0
1,29,38,Arvalli,Modasa,Mazam,NG,G,150.77,157.1,155.11,43.86,36.58,7.28,25.48,18.20,7.28,58.09%,1,459,NIL,70,70,0
9,4,44,Banaskantha,Dantiwada,Dantiwada,NG,G,161.85,184.1,171.13,397.12,392.01,5.10,61.13,56.03,5.10,15.39%,4,364,NIL,951,0,2
7,5,43,Banaskantha,Dantiwada,Sipu,NG,G,176.4,186.43,174.43,161.43,145.37,16.06,8.54,0.00,8.54,5.29%,0,299,NIL,0,0,0
8,3,45,Banaskantha,Vadgam,Mukteshwar,NG,G,193.67,201.65,196.02,31.46,26.30,5.16,10.26,5.10,5.16,32.61%,0,408,NIL,87,0,0
35,7,9,Bharuch,Jhagadia,Dholi,SG,UG,124,136,135.35,14.17,12.56,1.61,13.02,11.41,1.61,91.88%,0,418,HIGHALERT,104.22,0,0
34,9,11,Bharuch,Netrang,Baldeva,SG,UG,131.35,141.5,138.6,8.15,7.84,0.31,4.10,3.79,0.31,50.31%,0,574,NIL,104.22,0,0
33,10,12,Bharuch,Netrang,Pigut,SG,UG,130.6,139.7,138.8,7.52,7.27,0.25,6.22,5.97,0.25,82.71%,9,715,ALERT,79.7,0,0
